experiment_seed,request_id,target_sku_id,brand_preference,min_ram_gb,min_storage_gb,eligible_substitute_skus,substitution_tolerance,requested_quantity,q_raw,quantity_cap,current_price,budget_factor,budget,deadline_days,price_flexibility,price_tolerance_pct,quantity_flexibility,quantity_tolerance_pct,timing_flexibility,timing_tolerance_days,on_hand,reserved,incoming_quantity,incoming_eta_days,incoming_available,expected_demand_for_feasibility,available,baseline_feasible,classification
20260821,1,LAP-034,Nova,32,2048,[],0,11,11.216636752309242,29,54610,1.0233430099145313,614732.3794857581,5,Medium,0.05,Low,0.1,Low,0,51,15.0,54,3.0,54,19,71.0,True,OPPORTUNITY
20260821,2,LAP-007,Byte,16,256,"[""LAP-012"",""LAP-017"",""LAP-027"",""LAP-032"",""LAP-037"",""LAP-047""]",1,17,16.533678606140015,36,26850,0.8566672704842881,391025.77561255335,5,Low,0.02,Medium,0.25,Medium,2,57,6.0,61,7.0,0,22,29.0,True,OPPORTUNITY
20260821,3,LAP-009,Nova,16,256,"[""LAP-014"",""LAP-019"",""LAP-029"",""LAP-034"",""LAP-039"",""LAP-049""]",1,27,26.74466746171006,71,47820,1.0407640786066108,1343772.1324521394,10,Low,0.02,Low,0.1,Low,0,88,6.0,0,,0,88,-6.0,False,CONSTRAINT_CONFLICT
20260821,4,LAP-037,Byte,64,2048,[],1,10,10.387291899780132,37,66430,1.011837570095847,672163.6978146712,7,Low,0.02,Low,0.1,Low,0,51,4.0,0,,0,33,14.0,True,OPPORTUNITY
20260821,5,LAP-050,Vertex,16,256,[],0,3,2.7453696614921066,20,116540,0.8643331914288964,302188.17038737074,2,Low,0.02,Medium,0.25,Low,0,27,0.0,15,8.0,0,3,24.0,True,OPPORTUNITY
20260821,6,LAP-045,Vertex,8,256,[],0,9,8.72427491877154,20,91230,1.0593847853449119,869829.0657031467,10,Low,0.02,Low,0.1,Low,0,21,7.0,17,6.0,17,24,7.0,False,HARD_REJECT
20260821,7,LAP-010,Vertex,16,256,[],0,6,6.159989036949825,51,49440,1.0111982528412333,299961.8497228235,3,Medium,0.05,Medium,0.25,Low,0,107,10.0,0,,0,19,78.0,True,OPPORTUNITY
20260821,8,LAP-010,Vertex,16,256,[],0,44,43.93680423300959,51,49440,0.9316941923381488,2026770.2782447152,7,Medium,0.05,Low,0.1,Low,0,107,10.0,0,,0,45,52.0,True,OPPORTUNITY
20260821,9,LAP-001,Aster,8,256,[],0,16,15.97444776739879,89,28840,0.9027210273865892,416551.5908772677,2,Low,0.02,Low,0.1,High,3,188,21.0,0,,0,23,144.0,True,OPPORTUNITY
20260821,10,LAP-018,CoreX,64,512,"[""LAP-038""]",1,17,17.357142227620102,65,48660,0.9627500117419912,796406.0647132099,10,Low,0.02,Medium,0.25,Low,0,73,24.0,0,,0,81,-32.0,False,CONSTRAINT_CONFLICT
20260821,11,LAP-022,Byte,8,1024,[],0,42,42.01910280693682,45,41410,1.0098409782592972,1756335.626208135,5,Medium,0.05,Low,0.1,Low,0,61,5.0,0,,0,28,28.0,False,HARD_REJECT
20260821,12,LAP-041,Aster,8,256,[],0,10,10.39798750532844,20,81770,0.91579025105666,748841.6882890309,3,Medium,0.05,Low,0.1,High,3,40,0.0,35,7.0,0,8,32.0,True,OPPORTUNITY
20260821,13,LAP-015,Vertex,32,512,[],0,3,3.36213849214263,54,50860,0.9638544954003561,147064.91890818632,5,Medium,0.05,Low,0.1,Low,0,108,10.0,0,,0,34,64.0,True,BASELINE_ACCEPT
20260821,14,LAP-005,Vertex,8,256,[],0,74,76.28145658045023,74,29990,0.9981832622747655,2215228.186635896,5,Low,0.02,Low,0.1,Medium,2,101,10.0,0,,0,47,44.0,False,HARD_REJECT
20260821,15,LAP-032,Byte,32,2048,[],0,4,3.8006046858206712,28,57010,1.1336059222516353,258507.4945102629,10,Low,0.02,Low,0.1,Low,0,38,1.0,38,5.0,38,35,40.0,True,OPPORTUNITY
20260821,16,LAP-033,CoreX,32,2048,[],0,9,9.093824711016682,37,65810,1.0670492308883706,632002.588962873,3,Medium,0.05,Medium,0.25,Low,0,86,4.0,0,,0,14,68.0,True,BASELINE_ACCEPT
20260821,17,LAP-042,Byte,8,256,"[""LAP-002"",""LAP-007"",""LAP-012"",""LAP-017"",""LAP-022"",""LAP-027"",""LAP-032"",""LAP-037"",""LAP-047""]",1,8,8.193652563610161,27,84040,0.8375138837612145,563077.3343303397,5,Low,0.02,Low,0.1,High,3,30,1.0,0,,0,17,12.0,True,OPPORTUNITY
20260821,18,LAP-044,Nova,8,256,"[""LAP-004"",""LAP-009"",""LAP-014"",""LAP-019"",""LAP-024"",""LAP-029"",""LAP-034"",""LAP-039"",""LAP-049""]",1,6,5.790304953916225,28,103300,1.0180696793042188,630999.5872327548,7,Low,0.02,Low,0.1,Medium,2,58,9.0,0,,0,24,25.0,True,OPPORTUNITY
20260821,19,LAP-039,Nova,64,2048,[],1,28,27.728586477432074,49,57140,1.0740477627050806,1718390.4965071126,10,Low,0.02,Low,0.1,High,3,79,6.0,43,10.0,43,61,55.0,True,BASELINE_ACCEPT
20260821,20,LAP-002,Byte,8,256,[],0,11,10.917651852713275,56,30490,0.9697652420107352,325249.5645179805,7,Low,0.02,Low,0.1,Low,0,118,14.0,70,4.0,70,49,125.0,True,OPPORTUNITY
20260821,21,LAP-023,CoreX,8,1024,[],0,29,29.350731886139375,43,40220,1.016003324313658,1185045.9574129644,7,Low,0.02,Medium,0.25,Low,0,91,13.0,43,2.0,43,38,83.0,True,OPPORTUNITY
20260821,22,LAP-025,Vertex,8,1024,"[""LAP-030"",""LAP-035"",""LAP-040""]",1,25,24.534902299411247,34,35260,0.9004104742111406,793711.8330171205,2,Low,0.02,Medium,0.25,Medium,2,33,5.0,54,7.0,0,9,19.0,False,CONSTRAINT_CONFLICT
20260821,23,LAP-042,Byte,8,256,"[""LAP-002"",""LAP-007"",""LAP-012"",""LAP-017"",""LAP-022"",""LAP-027"",""LAP-032"",""LAP-037"",""LAP-047""]",1,4,3.7719548892005963,27,84040,0.8444949660124399,283885.4277747418,7,Low,0.02,Low,0.1,Low,0,30,1.0,0,,0,24,5.0,True,OPPORTUNITY
