sku_id,price_tier,margin_profile,list_price,current_price,discount_pct,cost_ratio,unit_cost,margin_floor,minimum_price,current_margin,heterogeneity_multiplier,mu,nb_k,incoming_exists,incoming_quantity,incoming_eta_days,on_hand,reserved,brand,ram_gb,storage_gb
LAP-001,Entry,High-margin,33090,28840,12.84,0.7745,22340,0.12,25390,0.2254,1.622241416438494,11.031241631781759,20.0,False,0,,188,21.0,Aster,8,256
LAP-002,Entry,Normal-margin,34090,30490,10.56,0.8182,24950,0.12,28360,0.1817,0.8705307653347558,6.9642461226780465,20.0,True,70,4.0,118,14.0,Byte,8,256
LAP-003,Entry,Low-margin,34990,32360,7.52,0.852,27570,0.12,31330,0.148,1.5299314420612842,14.075369266963813,20.0,True,183,10.0,239,26.0,CoreX,8,256
LAP-004,Entry,High-margin,31490,28000,11.08,0.7588,21250,0.12,24150,0.2411,0.9480652301747005,6.4468435651879625,20.0,False,0,,116,11.0,Nova,8,256
LAP-005,Entry,Normal-margin,34090,29990,12.03,0.8038,24110,0.12,27400,0.1961,1.1519618505469813,9.21569480437585,20.0,False,0,,101,10.0,Vertex,8,256
LAP-006,Entry,Low-margin,39990,34710,13.2,0.8516,29560,0.12,33600,0.1484,0.708168317573074,6.51514852167228,20.0,True,33,8.0,124,15.0,Aster,16,256
LAP-007,Entry,High-margin,31490,26850,14.73,0.7685,20640,0.12,23460,0.2313,0.645630698966989,4.3902887529755255,20.0,True,61,7.0,57,6.0,Byte,16,256
LAP-008,Entry,Normal-margin,36490,32230,11.67,0.8291,26720,0.12,30370,0.171,0.9764814089329887,7.81185127146391,20.0,False,0,,141,11.0,CoreX,16,256
LAP-009,Core,Low-margin,52990,47820,9.76,0.8492,40610,0.12,46150,0.1508,1.2746342454121204,8.79497629334363,20.0,False,0,,88,6.0,Nova,16,256
LAP-010,Core,High-margin,57090,49440,13.4,0.7552,37340,0.12,42440,0.2447,1.2332504248928495,6.289577166953532,20.0,False,0,,107,10.0,Vertex,16,256
LAP-011,Core,Normal-margin,53490,47120,11.91,0.8075,38050,0.12,43240,0.1925,1.350924929508638,8.105549577051828,20.0,False,0,,146,20.0,Aster,32,512
LAP-012,Core,Low-margin,40090,37160,7.31,0.8591,31930,0.12,36290,0.1407,0.767217624868145,5.2938016115902,20.0,False,0,,69,18.0,Byte,32,512
LAP-013,Core,High-margin,43490,41240,5.17,0.7791,32130,0.12,36520,0.2209,0.8732647647213011,4.453650300078635,20.0,True,53,7.0,76,12.0,CoreX,32,512
LAP-014,Core,Normal-margin,51490,45030,12.55,0.8208,36960,0.12,42000,0.1792,0.871096725308637,5.226580351851823,20.0,False,0,,42,3.0,Nova,32,512
LAP-015,Core,Low-margin,57990,50860,12.3,0.8568,43580,0.12,49530,0.1431,0.9737834306698345,6.719105671621858,20.0,False,0,,108,10.0,Vertex,32,512
LAP-016,Core,High-margin,56090,47830,14.73,0.7772,37180,0.12,42250,0.2227,1.2868844307469656,6.563110596809524,20.0,False,0,,92,19.0,Aster,64,512
LAP-017,Core,Normal-margin,44490,41040,7.75,0.8196,33630,0.12,38220,0.1806,0.922402287454787,5.534413724728722,20.0,False,0,,83,18.0,Byte,64,512
LAP-018,Core,Low-margin,52490,48660,7.3,0.851,41410,0.12,47060,0.149,1.1695593361054077,8.069959419127313,20.0,False,0,,73,24.0,CoreX,64,512
LAP-019,Core,High-margin,56990,50870,10.74,0.7825,39800,0.12,45230,0.2176,1.1006471608793174,5.613300520484518,20.0,False,0,,62,3.0,Nova,64,512
LAP-020,Core,Normal-margin,46490,40710,12.43,0.8194,33360,0.12,37910,0.1805,0.7782989038286008,4.669793422971605,20.0,True,61,7.0,89,5.0,Vertex,64,512
LAP-021,Core,Low-margin,56490,52420,7.2,0.8515,44630,0.12,50720,0.1486,1.2282123996123997,8.474665557325558,20.0,False,0,,153,23.0,Aster,8,1024
LAP-022,Core,High-margin,46490,41410,10.93,0.7854,32520,0.12,36960,0.2147,1.0828959268083433,5.52276922672255,20.0,False,0,,61,5.0,Byte,8,1024
LAP-023,Core,Normal-margin,43490,40220,7.52,0.8265,33240,0.12,37780,0.1735,0.8948452175649974,5.369071305389984,20.0,True,43,2.0,91,13.0,CoreX,8,1024
LAP-024,Core,Low-margin,59490,55190,7.23,0.8586,47390,0.12,53860,0.1413,0.8079224404273069,5.574664838948417,20.0,False,0,,72,15.0,Nova,8,1024
LAP-025,Core,High-margin,40990,35260,13.98,0.7661,27010,0.12,30700,0.234,0.8118104289869755,4.140233187833575,20.0,True,54,7.0,33,5.0,Vertex,8,1024
LAP-026,Core,Normal-margin,46990,41610,11.45,0.8192,34090,0.12,38740,0.1807,0.7787917540225628,4.6727505241353775,20.0,False,0,,93,9.0,Aster,16,1024
LAP-027,Core,Low-margin,49090,43910,10.55,0.8491,37280,0.12,42370,0.151,1.0832724671104526,7.474580023062122,20.0,False,0,,149,14.0,Byte,16,1024
LAP-028,Core,High-margin,58990,52120,11.65,0.7892,41130,0.12,46740,0.2109,0.6446855113190775,3.287896107727295,20.0,True,33,10.0,56,7.0,CoreX,16,1024
LAP-029,Upper-mid,Normal-margin,78990,70420,10.85,0.8295,58410,0.12,66380,0.1705,0.8114464380555151,3.2457857522220603,20.0,True,23,9.0,45,3.0,Nova,16,1024
LAP-030,Upper-mid,Low-margin,69090,63920,7.48,0.8476,54180,0.12,61570,0.1524,0.987300431274132,4.541581983861007,20.0,False,0,,91,11.0,Vertex,16,1024
LAP-031,Upper-mid,High-margin,71490,64830,9.32,0.7647,49580,0.12,56350,0.2352,1.1505778940360722,3.9119648397226454,20.0,True,31,4.0,31,4.0,Aster,32,2048
LAP-032,Upper-mid,Normal-margin,63490,57010,10.21,0.8023,45740,0.12,51980,0.1977,0.8635233830378519,3.4540935321514077,20.0,True,38,5.0,38,1.0,Byte,32,2048
LAP-033,Upper-mid,Low-margin,72090,65810,8.71,0.8455,55640,0.12,63230,0.1545,0.9793832789762501,4.50516308329075,20.0,False,0,,86,4.0,CoreX,32,2048
LAP-034,Upper-mid,High-margin,63090,54610,13.44,0.7766,42410,0.12,48200,0.2234,1.0634070732519882,3.61558404905676,20.0,True,54,3.0,51,15.0,Nova,32,2048
LAP-035,Upper-mid,Normal-margin,73990,70250,5.05,0.8001,56210,0.12,63880,0.1999,0.6967290900133237,2.786916360053295,20.0,False,0,,47,12.0,Vertex,32,2048
LAP-036,Upper-mid,Low-margin,74090,63850,13.82,0.8474,54110,0.12,61490,0.1525,1.2489663698439832,5.745245301282322,20.0,False,0,,109,18.0,Aster,64,2048
LAP-037,Upper-mid,High-margin,76090,66430,12.7,0.7846,52120,0.12,59230,0.2154,1.3533169556936315,4.601277649358347,20.0,False,0,,51,4.0,Byte,64,2048
LAP-038,Upper-mid,Normal-margin,69490,61880,10.95,0.8033,49710,0.12,56490,0.1967,0.9468931343642588,3.7875725374570353,20.0,True,30,6.0,61,9.0,CoreX,64,2048
LAP-039,Upper-mid,Low-margin,63490,57140,10.0,0.8482,48470,0.12,55080,0.1517,1.321130188155139,6.077198865513639,20.0,True,43,10.0,79,6.0,Nova,64,2048
LAP-040,Upper-mid,High-margin,66990,60870,9.14,0.7734,47070,0.12,53490,0.2267,1.0562265608257855,3.5911703068076704,20.0,False,0,,47,4.0,Vertex,64,2048
LAP-041,Premium,Normal-margin,91090,81770,10.23,0.8272,67640,0.12,76870,0.1728,0.9902830653658434,2.4757076634146085,20.0,True,35,7.0,40,0.0,Aster,8,256
LAP-042,Premium,Low-margin,96490,84040,12.9,0.8554,71890,0.12,81700,0.1446,1.1685969128227818,3.3597161243654976,20.0,False,0,,30,1.0,Byte,8,256
LAP-043,Premium,High-margin,91490,84550,7.59,0.7866,66510,0.12,75580,0.2134,1.0970755561098606,2.331285556733454,20.0,False,0,,47,0.0,CoreX,8,256
LAP-044,Premium,Normal-margin,109990,103300,6.08,0.8207,84780,0.12,96350,0.1793,1.3557714266060545,3.3894285665151362,20.0,False,0,,58,9.0,Nova,8,256
LAP-045,Premium,Low-margin,100990,91230,9.66,0.849,77450,0.12,88020,0.151,0.829834577164939,2.3857744093491995,20.0,True,17,6.0,21,7.0,Vertex,8,256
LAP-046,Premium,High-margin,95990,88820,7.47,0.7702,68410,0.12,77740,0.2298,0.8982760655433831,1.9088366392796892,20.0,False,0,,15,5.0,Aster,16,256
LAP-047,Premium,Normal-margin,82490,73300,11.14,0.826,60540,0.12,68800,0.1741,1.1228539828504067,2.8071349571260167,20.0,False,0,,42,7.0,Byte,16,256
LAP-048,High-end,Low-margin,119490,110910,7.18,0.8469,93930,0.12,106740,0.1531,0.8818016383544084,1.5211078261613544,20.0,True,8,7.0,14,3.0,CoreX,16,256
LAP-049,High-end,High-margin,126090,117210,7.04,0.7899,92590,0.12,105220,0.2101,1.333123343947165,1.6997322635326353,20.0,False,0,,17,5.0,Nova,16,256
LAP-050,High-end,Normal-margin,132090,116540,11.77,0.8036,93650,0.12,106430,0.1964,0.93477916975129,1.402168754626935,20.0,True,15,8.0,27,0.0,Vertex,16,256
