sku_id,price_tier,margin_profile,list_price,current_price,discount_pct,cost_ratio,unit_cost,margin_floor,minimum_price,current_margin
LAP-001,Entry,High-margin,33090,28840,12.84,0.7745,22340,0.12,25390,0.2254
LAP-002,Entry,Normal-margin,34090,30490,10.56,0.8182,24950,0.12,28360,0.1817
LAP-003,Entry,Low-margin,34990,32360,7.52,0.852,27570,0.12,31330,0.148
LAP-004,Entry,High-margin,31490,28000,11.08,0.7588,21250,0.12,24150,0.2411
LAP-005,Entry,Normal-margin,34090,29990,12.03,0.8038,24110,0.12,27400,0.1961
LAP-006,Entry,Low-margin,39990,34710,13.2,0.8516,29560,0.12,33600,0.1484
LAP-007,Entry,High-margin,31490,26850,14.73,0.7685,20640,0.12,23460,0.2313
LAP-008,Entry,Normal-margin,36490,32230,11.67,0.8291,26720,0.12,30370,0.171
LAP-009,Core,Low-margin,52990,47820,9.76,0.8492,40610,0.12,46150,0.1508
LAP-010,Core,High-margin,57090,49440,13.4,0.7552,37340,0.12,42440,0.2447
LAP-011,Core,Normal-margin,53490,47120,11.91,0.8075,38050,0.12,43240,0.1925
LAP-012,Core,Low-margin,40090,37160,7.31,0.8591,31930,0.12,36290,0.1407
LAP-013,Core,High-margin,43490,41240,5.17,0.7791,32130,0.12,36520,0.2209
LAP-014,Core,Normal-margin,51490,45030,12.55,0.8208,36960,0.12,42000,0.1792
LAP-015,Core,Low-margin,57990,50860,12.3,0.8568,43580,0.12,49530,0.1431
LAP-016,Core,High-margin,56090,47830,14.73,0.7772,37180,0.12,42250,0.2227
LAP-017,Core,Normal-margin,44490,41040,7.75,0.8196,33630,0.12,38220,0.1806
LAP-018,Core,Low-margin,52490,48660,7.3,0.851,41410,0.12,47060,0.149
LAP-019,Core,High-margin,56990,50870,10.74,0.7825,39800,0.12,45230,0.2176
LAP-020,Core,Normal-margin,46490,40710,12.43,0.8194,33360,0.12,37910,0.1805
LAP-021,Core,Low-margin,56490,52420,7.2,0.8515,44630,0.12,50720,0.1486
LAP-022,Core,High-margin,46490,41410,10.93,0.7854,32520,0.12,36960,0.2147
LAP-023,Core,Normal-margin,43490,40220,7.52,0.8265,33240,0.12,37780,0.1735
LAP-024,Core,Low-margin,59490,55190,7.23,0.8586,47390,0.12,53860,0.1413
LAP-025,Core,High-margin,40990,35260,13.98,0.7661,27010,0.12,30700,0.234
LAP-026,Core,Normal-margin,46990,41610,11.45,0.8192,34090,0.12,38740,0.1807
LAP-027,Core,Low-margin,49090,43910,10.55,0.8491,37280,0.12,42370,0.151
LAP-028,Core,High-margin,58990,52120,11.65,0.7892,41130,0.12,46740,0.2109
LAP-029,Upper-mid,Normal-margin,78990,70420,10.85,0.8295,58410,0.12,66380,0.1705
LAP-030,Upper-mid,Low-margin,69090,63920,7.48,0.8476,54180,0.12,61570,0.1524
LAP-031,Upper-mid,High-margin,71490,64830,9.32,0.7647,49580,0.12,56350,0.2352
LAP-032,Upper-mid,Normal-margin,63490,57010,10.21,0.8023,45740,0.12,51980,0.1977
LAP-033,Upper-mid,Low-margin,72090,65810,8.71,0.8455,55640,0.12,63230,0.1545
LAP-034,Upper-mid,High-margin,63090,54610,13.44,0.7766,42410,0.12,48200,0.2234
LAP-035,Upper-mid,Normal-margin,73990,70250,5.05,0.8001,56210,0.12,63880,0.1999
LAP-036,Upper-mid,Low-margin,74090,63850,13.82,0.8474,54110,0.12,61490,0.1525
LAP-037,Upper-mid,High-margin,76090,66430,12.7,0.7846,52120,0.12,59230,0.2154
LAP-038,Upper-mid,Normal-margin,69490,61880,10.95,0.8033,49710,0.12,56490,0.1967
LAP-039,Upper-mid,Low-margin,63490,57140,10.0,0.8482,48470,0.12,55080,0.1517
LAP-040,Upper-mid,High-margin,66990,60870,9.14,0.7734,47070,0.12,53490,0.2267
LAP-041,Premium,Normal-margin,91090,81770,10.23,0.8272,67640,0.12,76870,0.1728
LAP-042,Premium,Low-margin,96490,84040,12.9,0.8554,71890,0.12,81700,0.1446
LAP-043,Premium,High-margin,91490,84550,7.59,0.7866,66510,0.12,75580,0.2134
LAP-044,Premium,Normal-margin,109990,103300,6.08,0.8207,84780,0.12,96350,0.1793
LAP-045,Premium,Low-margin,100990,91230,9.66,0.849,77450,0.12,88020,0.151
LAP-046,Premium,High-margin,95990,88820,7.47,0.7702,68410,0.12,77740,0.2298
LAP-047,Premium,Normal-margin,82490,73300,11.14,0.826,60540,0.12,68800,0.1741
LAP-048,High-end,Low-margin,119490,110910,7.18,0.8469,93930,0.12,106740,0.1531
LAP-049,High-end,High-margin,126090,117210,7.04,0.7899,92590,0.12,105220,0.2101
LAP-050,High-end,Normal-margin,132090,116540,11.77,0.8036,93650,0.12,106430,0.1964
